contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate
AAPL250228C00110000,2025-01-21 19:20:02+00:00,110.0,111.67,133.8,136.75,0.0,0.0,,0,3.3154313989257806,True,REGULAR,USD,2025-02-28
AAPL250228C00140000,2025-02-20 14:59:32+00:00,140.0,105.09,103.8,106.85,0.0,0.0,1.0,37,2.4628944677734372,True,REGULAR,USD,2025-02-28
AAPL250228C00145000,2025-02-11 15:05:42+00:00,145.0,86.52,98.85,101.85,0.0,0.0,4.0,1,2.3310588598632807,True,REGULAR,USD,2025-02-28
AAPL250228C00150000,2025-02-18 15:36:57+00:00,150.0,94.39,94.75,96.75,0.0,0.0,2.0,10,1.607423837890625,True,REGULAR,USD,2025-02-28
AAPL250228C00165000,2025-02-21 18:26:50+00:00,165.0,82.75,79.7,81.7,17.809998,27.42531,2.0,3,1.2753942480468747,True,REGULAR,USD,2025-02-28
AAPL250228C00170000,2025-02-20 19:37:20+00:00,170.0,75.3,74.75,76.7,0.0,0.0,1.0,10,1.2148476757812499,True,REGULAR,USD,2025-02-28
AAPL250228C00175000,2025-02-21 18:21:14+00:00,175.0,72.5,70.35,71.15,3.7200012,5.4085507,427.0,523,1.15234798828125,True,REGULAR,USD,2025-02-28
AAPL250228C00180000,2025-02-21 19:00:48+00:00,180.0,67.99,64.8,66.5,2.4300003,3.706529,11.0,199,0.9687503125,True,REGULAR,USD,2025-02-28
AAPL250228C00185000,2025-02-21 20:57:07+00:00,185.0,60.77,59.7,61.75,0.010002136,0.016461713,3.0,121,0.9648441015625,True,REGULAR,USD,2025-02-28
AAPL250228C00190000,2025-02-20 20:25:48+00:00,190.0,57.43,55.05,56.55,1.6300011,2.921149,1.0,294,0.9355475195312499,True,REGULAR,USD,2025-02-28
AAPL250228C00195000,2025-02-21 19:55:22+00:00,195.0,51.39,49.7,51.95,0.5400009,1.0619488,7.0,159,0.866212275390625,True,REGULAR,USD,2025-02-28
AAPL250228C00200000,2025-02-21 20:57:42+00:00,200.0,45.7,45.5,46.35,-0.049999237,-0.10928795,451.0,716,0.8291032714843749,True,REGULAR,USD,2025-02-28
AAPL250228C00205000,2025-02-21 19:40:54+00:00,205.0,41.3,40.2,41.55,0.29999924,0.7317054,1109.0,186,0.725588681640625,True,REGULAR,USD,2025-02-28
AAPL250228C00207500,2025-02-20 16:52:59+00:00,207.5,38.1,37.55,39.0,-0.45000076,-1.1673172,30.0,142,0.641605146484375,True,REGULAR,USD,2025-02-28
AAPL250228C00210000,2025-02-21 20:31:50+00:00,210.0,36.04,35.35,36.55,0.20999908,0.58609843,668.0,222,0.6704134521484376,True,REGULAR,USD,2025-02-28
AAPL250228C00212500,2025-02-20 17:16:39+00:00,212.5,33.98,32.3,34.4,0.0,0.0,9.0,47,0.594730615234375,True,REGULAR,USD,2025-02-28
AAPL250228C00215000,2025-02-21 20:21:45+00:00,215.0,31.23,30.45,31.45,0.4300003,1.3961049,72.0,538,0.586918193359375,True,REGULAR,USD,2025-02-28
AAPL250228C00217500,2025-02-21 19:40:28+00:00,217.5,29.0,27.75,29.4,-0.13999939,-0.4804372,28.0,66,0.5786174951171875,True,REGULAR,USD,2025-02-28
AAPL250228C00220000,2025-02-21 20:56:28+00:00,220.0,25.87,25.7,26.3,-0.0099983215,-0.03863339,528.0,1068,0.516606396484375,True,REGULAR,USD,2025-02-28
AAPL250228C00222500,2025-02-21 20:05:14+00:00,222.5,23.55,23.2,24.0,0.29999924,1.2903193,731.0,174,0.5722699023437501,True,REGULAR,USD,2025-02-28
AAPL250228C00225000,2025-02-21 20:26:23+00:00,225.0,21.16,20.75,21.3,0.11999893,0.5703371,474.0,2167,0.4907277490234375,True,REGULAR,USD,2025-02-28
AAPL250228C00227500,2025-02-21 20:02:23+00:00,227.5,18.84,18.2,19.05,0.34000015,1.8378386,78.0,530,0.4831594653320313,True,REGULAR,USD,2025-02-28
AAPL250228C00230000,2025-02-21 20:57:56+00:00,230.0,16.15,15.85,16.4,-0.14999962,-0.9202431,909.0,2959,0.41235939208984373,True,REGULAR,USD,2025-02-28
AAPL250228C00232500,2025-02-21 20:59:14+00:00,232.5,13.9,13.5,13.9,-0.10000038,-0.7142884,550.0,891,0.3632876171875,True,REGULAR,USD,2025-02-28
AAPL250228C00235000,2025-02-21 20:57:37+00:00,235.0,11.29,11.25,11.45,-0.26000023,-2.251084,3432.0,4514,0.31958688232421867,True,REGULAR,USD,2025-02-28
AAPL250228C00237500,2025-02-21 20:58:48+00:00,237.5,9.15,9.05,9.2,-0.13000011,-1.4008634,535.0,1310,0.2946847875976562,True,REGULAR,USD,2025-02-28
AAPL250228C00240000,2025-02-21 20:59:47+00:00,240.0,7.05,6.95,7.05,-0.10999966,-1.536308,3531.0,6149,0.26978269287109374,True,REGULAR,USD,2025-02-28
AAPL250228C00242500,2025-02-21 20:58:28+00:00,242.5,5.2,5.0,5.15,0.049999714,0.97086823,1892.0,3004,0.252937158203125,True,REGULAR,USD,2025-02-28
